"PC","percent_variance","cumulative_variance"
1,20.3596899818386,20.3596899818386
2,8.27851313413261,28.6382031159712
3,6.16399172305522,34.8021948390264
4,5.73104478603472,40.5332396250611
5,4.08123928805026,44.6144789131114
6,2.63694625443668,47.251425167548
7,1.73070802400978,48.9821331915578
8,1.52693568136652,50.5090688729243
9,1.39085279117538,51.8999216640997
10,1.37941362657037,53.2793352906701
11,1.33781599164026,54.6171512823104
12,1.29667678699401,55.9138280693044
13,1.27131619286916,57.1851442621735
14,1.25222699920419,58.4373712613777
15,1.24882017151332,59.686191432891
16,1.23877932355228,60.9249707564433
17,1.21714527614357,62.1421160325869
18,1.21306119334658,63.3551772259335
19,1.20323917642324,64.5584164023567
20,1.20100332185534,65.759419724212
21,1.19475271752994,66.954172441742
22,1.19176074974233,68.1459331914843
23,1.18881455166315,69.3347477431475
24,1.18568054657321,70.5204282897207
25,1.18014699101594,71.7005752807366
26,1.17459796722026,72.8751732479569
27,1.17269365897021,74.0478669069271
28,1.16871929717511,75.2165862041022
29,1.16379631576156,76.3803825198637
30,1.16145666021658,77.5418391800803
31,1.15588378324152,78.6977229633218
32,1.15114165760165,79.8488646209235
33,1.1443756691361,80.9932402900596
34,1.14027148712623,82.1335117771858
35,1.13911750798182,83.2726292851676
36,1.13688185619527,84.4095111413629
37,1.13174165130303,85.5412527926659
38,1.12896958623622,86.6702223789022
39,1.12440258683889,87.7946249657411
40,1.123865676064,88.9184906418051
41,1.12162404229688,90.0401146841019
42,1.11669056050785,91.1568052446098
43,1.11631048388987,92.2731157284997
44,1.11349853797028,93.3866142664699
45,1.11002544527366,94.4966397117436
46,1.10544900294854,95.6020887146921
47,1.10285969010763,96.7049484047998
48,1.10094080459031,97.8058892093901
49,1.09869650663844,98.9045857160285
50,1.09541428397149,100
