"n_pcs","n_clusters","smallest_cluster","largest_cluster","cluster_sizes"
6,10,13,631,"631, 545, 344, 260, 240, 226, 190, 160, 29, 13"
7,11,14,590,"590, 463, 344, 271, 264, 221, 160, 146, 136, 29, 14"
8,9,14,734,"734, 484, 451, 344, 276, 160, 145, 30, 14"
9,10,13,545,"545, 530, 481, 344, 272, 162, 145, 114, 32, 13"
10,9,14,706,"706, 482, 475, 344, 271, 160, 154, 32, 14"
11,9,13,677,"677, 479, 453, 343, 335, 164, 142, 32, 13"
12,9,14,630,"630, 506, 482, 343, 311, 160, 160, 32, 14"
13,9,13,631,"631, 515, 478, 343, 304, 166, 157, 31, 13"
